Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,387.250000,391.500000,384.600006,389.700012,372.788971,4461761
2021-01-04,392.000000,405.100006,391.100006,403.100006,385.607483,8872723
2021-01-05,400.000000,401.000000,391.600006,395.250000,378.098114,6190435
2021-01-06,397.200012,407.350006,395.750000,401.700012,384.268219,7910567
2021-01-07,404.000000,413.100006,403.149994,405.399994,387.807648,10231006
2021-01-08,410.299988,410.450012,398.500000,402.850006,385.368347,7559664
2021-01-11,402.850006,404.950012,392.649994,399.049988,381.733185,4822618
2021-01-12,398.950012,412.950012,397.049988,399.549988,382.211487,6708618
2021-01-13,401.549988,407.399994,394.149994,402.950012,385.463989,6885599
2021-01-14,404.350006,405.649994,394.000000,396.399994,379.198212,4886430
2021-01-15,398.000000,402.549988,391.200012,394.200012,377.093719,7329969
2021-01-18,393.500000,394.000000,375.500000,383.100006,366.475372,10605461
2021-01-19,386.200012,397.750000,381.600006,395.399994,378.241577,5842513
2021-01-20,395.000000,402.899994,393.450012,400.899994,383.502930,5604951
2021-01-21,402.500000,405.000000,388.950012,393.299988,376.232727,7085945
2021-01-22,396.000000,397.450012,372.200012,375.399994,359.109497,8779405
2021-01-25,388.000000,394.950012,371.450012,382.450012,365.853577,17874949
2021-01-27,380.600006,382.000000,371.549988,376.250000,359.922638,8576326
2021-01-28,371.000000,380.850006,369.600006,376.299988,359.970428,6969457
2021-01-29,382.049988,382.549988,363.200012,366.850006,350.930542,7981367
2021-02-01,366.500000,384.399994,363.649994,380.850006,364.323029,6141212
2021-02-02,384.649994,391.700012,376.700012,389.000000,372.119324,7450391
2021-02-03,386.200012,398.450012,384.700012,392.899994,375.850098,6063017
2021-02-04,392.899994,402.000000,390.450012,400.299988,382.928955,6283280
2021-02-05,403.000000,406.600006,389.149994,402.200012,384.746521,9008833
2021-02-08,404.549988,419.250000,401.200012,417.649994,399.526062,9008722
2021-02-09,417.000000,420.000000,401.850006,406.450012,388.812103,7961747
2021-02-10,410.000000,413.950012,400.000000,410.750000,392.925507,8008124
2021-02-11,408.200012,415.500000,404.950012,408.850006,391.107941,3598146
2021-02-12,407.850006,410.899994,402.600006,403.799988,386.277069,4667663
2021-02-15,405.100006,407.850006,401.000000,403.700012,386.181427,4678133
2021-02-16,403.700012,421.899994,403.700012,407.649994,389.960022,10594928
2021-02-17,406.350006,411.000000,401.000000,408.700012,390.964447,5486323
2021-02-18,410.000000,414.750000,406.000000,407.649994,389.960022,5889983
2021-02-19,408.100006,408.399994,390.950012,395.649994,378.480774,4527644
2021-02-22,396.149994,413.850006,396.149994,406.100006,388.477264,9371697
2021-02-23,410.000000,416.200012,406.100006,412.600006,394.695221,8127742
2021-02-24,415.000000,426.600006,400.000000,408.100006,390.390503,10570509
2021-02-25,411.000000,425.000000,410.000000,421.750000,403.448151,9051315
2021-02-26,412.049988,421.299988,392.049988,395.450012,378.289459,11433748
2021-03-01,402.600006,408.450012,393.350006,405.100006,387.520691,5834233
2021-03-02,406.799988,414.950012,401.000000,413.299988,395.364807,5055665
2021-03-03,415.299988,435.000000,415.299988,428.149994,409.570404,11903775
2021-03-04,415.100006,421.399994,411.049988,414.100006,396.130127,8655068
2021-03-05,414.100006,414.100006,402.500000,406.399994,388.764252,7045618
2021-03-08,411.950012,415.500000,406.500000,407.850006,390.151337,4176709
2021-03-09,412.000000,414.750000,396.799988,401.600006,384.172577,5477847
2021-03-10,406.549988,415.299988,403.500000,414.000000,396.034454,6536253
2021-03-12,418.149994,428.450012,414.000000,418.750000,400.578339,13448994
2021-03-15,422.899994,431.750000,414.899994,429.649994,411.005310,10146579
2021-03-16,433.950012,433.950012,419.350006,425.950012,407.465912,8103798
2021-03-17,425.950012,425.950012,417.500000,422.500000,404.165619,4738590
2021-03-18,427.000000,432.649994,420.100006,423.149994,404.787384,6837030
2021-03-19,420.100006,446.299988,410.000000,440.549988,421.432312,11116495
2021-03-22,441.000000,449.000000,436.799988,445.299988,425.976196,7010923
2021-03-23,445.000000,447.250000,439.500000,441.799988,422.628082,5066287
2021-03-24,437.000000,443.149994,431.600006,437.350006,418.371155,7803892
2021-03-25,437.049988,442.200012,428.500000,438.000000,418.992981,10870751
2021-03-26,443.600006,452.250000,436.200012,445.200012,425.880524,12165673
2021-03-30,455.000000,470.200012,452.200012,467.450012,447.164978,17646211
2021-03-31,467.350006,473.799988,461.299988,468.450012,448.121613,7635784
2021-04-01,470.549988,512.950012,470.000000,508.750000,486.672760,35736230
2021-04-05,513.500000,522.000000,503.200012,517.500000,495.043060,29711225
2021-04-06,523.000000,541.299988,520.650024,537.450012,514.127319,26533367
2021-04-07,539.250000,566.450012,533.200012,562.299988,537.898987,20024702
2021-04-08,572.000000,639.000000,563.250000,614.099976,587.451050,72006147
2021-04-09,618.000000,630.849976,598.000000,621.000000,594.051697,51062079
2021-04-12,609.000000,621.750000,597.400024,604.150024,577.932861,27047004
2021-04-13,607.000000,632.799988,604.000000,630.349976,602.995972,26091257
2021-04-15,638.000000,644.000000,616.000000,629.099976,601.800171,24006650
2021-04-16,631.900024,635.900024,616.950012,619.400024,592.521118,14389029
2021-04-19,600.000000,625.500000,595.099976,615.799988,589.077332,17044636
2021-04-20,622.799988,630.000000,613.400024,620.599976,593.669006,13626064
2021-04-22,615.700012,651.000000,611.599976,640.750000,612.944641,22859059
2021-04-23,641.000000,652.799988,625.849976,635.400024,607.826782,17931094
2021-04-26,642.000000,660.700012,638.250000,655.799988,627.341492,16506538
2021-04-27,660.650024,670.349976,658.000000,665.900024,637.003296,15799458
2021-04-28,669.750000,676.000000,650.650024,662.650024,633.894287,15558949
2021-04-29,672.000000,728.900024,668.049988,726.500000,694.973511,56816962
2021-04-30,719.599976,740.000000,711.450012,717.849976,686.698853,36449711
2021-05-03,714.000000,730.000000,710.599976,723.250000,691.864624,16906171
2021-05-04,727.950012,737.500000,711.250000,715.400024,684.355286,13790054
2021-05-05,723.000000,733.000000,713.099976,717.700012,686.555420,12284261
2021-05-06,721.299988,742.000000,718.000000,729.799988,698.130310,18365325
2021-05-07,738.000000,766.700012,736.750000,756.950012,724.102173,26586556
2021-05-10,765.900024,773.000000,756.049988,758.650024,725.728394,15105182
2021-05-11,741.000000,754.799988,730.549988,734.250000,702.387207,16277517
2021-05-12,740.000000,741.900024,700.000000,707.900024,677.180725,14410802
