Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,381.100006,384.000000,380.399994,381.950012,305.114166,2861749
2021-01-04,384.899994,396.899994,384.500000,395.350006,315.818512,8238892
2021-01-05,394.700012,394.750000,389.000000,392.000000,313.142456,4532068
2021-01-06,392.600006,396.950012,382.549988,387.299988,309.387909,8072360
2021-01-07,391.000000,395.000000,387.600006,392.200012,313.302185,6560803
2021-01-08,395.000000,406.000000,394.250000,400.149994,319.652954,12377956
2021-01-11,404.000000,404.750000,395.350006,401.750000,320.931030,6834003
2021-01-12,401.500000,409.000000,397.450012,402.549988,321.570099,8331071
2021-01-13,406.000000,425.000000,404.649994,411.899994,329.039185,21181147
2021-01-14,412.000000,430.000000,411.000000,426.700012,340.861938,12600096
2021-01-15,429.399994,429.500000,411.299988,414.600006,331.196075,8827951
2021-01-18,414.000000,416.899994,402.000000,409.549988,327.161957,8393582
2021-01-19,413.000000,418.000000,408.250000,413.450012,330.277405,5547107
2021-01-20,415.000000,416.899994,409.250000,413.850006,330.596924,4937393
2021-01-21,415.000000,423.000000,405.100006,408.299988,326.163361,8768238
2021-01-22,409.000000,412.950012,394.950012,396.049988,316.377686,7702419
2021-01-25,400.000000,402.850006,384.700012,387.299988,309.387909,6030213
2021-01-27,385.549988,390.250000,379.750000,380.600006,304.035736,6033438
2021-01-28,377.000000,389.700012,376.250000,384.299988,306.991425,8155883
2021-01-29,389.899994,396.549988,381.350006,383.600006,306.432220,8258955
2021-02-01,388.000000,397.899994,380.600006,393.000000,313.941254,13938368
2021-02-02,396.750000,411.000000,393.250000,408.000000,325.923737,8876838
2021-02-03,405.000000,417.000000,402.350006,414.899994,331.435730,8509253
2021-02-04,413.600006,422.500000,410.549988,418.549988,334.351410,7599341
2021-02-05,420.500000,422.299988,413.100006,415.000000,331.515625,3861284
2021-02-08,420.000000,424.399994,416.000000,420.049988,335.549622,6322827
2021-02-09,431.000000,438.049988,416.649994,419.350006,334.990509,22577022
2021-02-10,422.200012,424.950012,409.049988,415.799988,332.154633,9580296
2021-02-11,415.000000,422.850006,414.299988,421.950012,337.067505,5729659
2021-02-12,423.000000,425.850006,414.600006,418.100006,333.991974,5470945
2021-02-15,422.799988,424.899994,417.000000,419.000000,334.710876,5518776
2021-02-16,417.799988,422.600006,416.200012,417.950012,333.872101,5397662
2021-02-17,404.500000,413.899994,401.549988,411.700012,341.970825,8589431
2021-02-18,415.350006,434.350006,410.700012,432.200012,358.998749,20755494
2021-02-19,437.000000,444.799988,423.500000,430.000000,357.171326,24446305
2021-02-22,429.299988,435.250000,418.000000,422.549988,350.983093,9690341
2021-02-23,428.000000,442.700012,425.799988,435.250000,361.532166,14397828
2021-02-24,440.000000,445.000000,436.100006,438.700012,364.397827,5990683
2021-02-25,441.950012,467.799988,441.850006,461.549988,383.377777,18810829
2021-02-26,454.950012,466.350006,440.250000,449.850006,373.659393,18441539
2021-03-01,456.000000,463.850006,450.100006,455.250000,378.144775,6092750
2021-03-02,474.500000,482.399994,462.000000,469.000000,389.565948,26600333
2021-03-03,480.000000,480.000000,462.299988,466.350006,387.364746,8837642
2021-03-04,462.000000,472.649994,459.250000,463.899994,385.329712,6278311
2021-03-05,463.000000,474.450012,458.100006,461.799988,383.585388,8896513
2021-03-08,462.000000,472.950012,461.799988,466.700012,387.655487,5674769
2021-03-09,446.200012,454.000000,437.350006,445.899994,370.378387,199790953
2021-03-10,451.000000,451.899994,442.049988,445.500000,370.046112,11745802
2021-03-12,457.000000,464.000000,451.000000,457.549988,380.055206,26396386
2021-03-15,464.450012,465.000000,451.299988,460.549988,382.547119,16919538
2021-03-16,464.549988,465.600006,452.049988,453.850006,376.981873,15391437
2021-03-17,442.000000,446.700012,430.100006,432.049988,358.874115,28849799
2021-03-18,435.000000,438.500000,423.799988,426.899994,354.596405,13180981
2021-03-19,426.000000,438.399994,419.200012,432.950012,359.621704,13311475
2021-03-22,438.250000,442.000000,434.350006,439.350006,364.937744,13671931
2021-03-23,441.899994,442.200012,435.100006,436.500000,362.570435,8544739
2021-03-24,434.950012,436.500000,428.649994,429.950012,357.129791,5158543
2021-03-25,426.450012,427.200012,415.100006,418.950012,352.087372,10449487
2021-03-26,425.899994,431.799988,421.399994,424.200012,356.499512,9602431
2021-03-30,428.899994,433.899994,421.500000,430.799988,362.046143,8576899
2021-03-31,430.500000,431.149994,425.500000,427.950012,359.651031,5009335
2021-04-01,430.600006,439.950012,428.049988,437.399994,367.592865,4578197
2021-04-05,434.100006,437.000000,421.100006,428.049988,359.735077,5755221
2021-04-06,430.000000,433.700012,424.299988,428.100006,359.777100,4595437
2021-04-07,429.000000,431.500000,427.500000,428.200012,359.861145,3715472
2021-04-08,429.549988,436.000000,429.299988,430.549988,361.836029,3354117
2021-04-09,430.000000,432.250000,424.500000,425.600006,357.676117,4089592
2021-04-12,417.950012,419.399994,402.000000,403.950012,339.481354,6184047
2021-04-13,405.000000,412.500000,402.200012,409.399994,344.061554,4032156
2021-04-15,409.000000,416.399994,403.299988,404.850006,340.237671,7220179
2021-04-16,405.000000,422.950012,404.299988,413.799988,347.759277,11146313
2021-04-19,405.000000,412.399994,400.000000,408.750000,343.515289,5628231
2021-04-20,411.899994,414.450012,406.100006,408.100006,342.968964,3513444
2021-04-22,405.000000,421.299988,403.500000,418.350006,351.583160,7805674
2021-04-23,417.299988,424.950012,416.000000,423.049988,355.533051,23840266
2021-04-26,426.000000,428.350006,417.549988,418.899994,352.045349,6444098
2021-04-27,417.500000,423.100006,416.549988,420.350006,353.263947,5408165
2021-04-28,422.000000,424.350006,414.899994,417.500000,350.868805,9902533
2021-04-29,422.000000,423.000000,417.000000,419.549988,352.591614,6632804
2021-04-30,417.500000,437.500000,414.649994,421.799988,354.482544,16851470
2021-05-03,419.000000,429.049988,415.399994,416.000000,349.608185,8059391
2021-05-04,420.899994,429.450012,418.500000,421.450012,354.188385,9993939
2021-05-05,422.049988,431.600006,421.000000,424.799988,357.003754,6889331
2021-05-06,428.000000,435.000000,424.149994,434.000000,364.735474,6393644
2021-05-07,435.049988,447.000000,428.000000,443.149994,372.425140,12027364
2021-05-10,449.000000,455.000000,445.000000,453.700012,381.291412,9702910
2021-05-11,449.600006,464.000000,446.899994,462.250000,388.476898,10847939
2021-05-12,464.000000,468.000000,446.500000,449.250000,377.551636,7617797
2021-05-14,453.500000,453.500000,439.100006,442.250000,371.668793,4899715
2021-05-17,445.000000,446.549988,438.100006,443.649994,372.845367,3031731
2021-05-18,447.200012,452.399994,442.700012,448.450012,376.879333,4967123
